,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,into,into,ADP,,,,,,,0,['into'],[2046],28,28,Translative Case,"the de ##ba ##athi ##fication commission had been pushed by ahmad cha ##lab ##i and his iraqi national congress very hard , and had pushed many sunni arabs into the arms of the guerrillas .","The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas ."
150,into,into,ADP,,,,,,,0,['into'],[2046],14,14,Translative Case,"on the other hand , the us should strong - arm india and pakistan into a final settlement of the kashmir issue .","On the other hand , the US should strong - arm India and Pakistan into a final settlement of the Kashmir issue ."
219,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sharon ' s hard line has worked in tandem with hamas ' s terrorism to rat ##chet up tensions further and further , which spill over into the muslim world and serve as a recruiting tool for al - qaeda in its search for agents willing to hit the united states .","Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States ."
611,for,for,ADP,,,,,,,0,['for'],[2005],13,13,Causal-Final Case,the americans have to put away their free - market fe ##tish ##ism for a while and find ways of creating jobs and pumping money into iraqi households .,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .
773,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,that private wealth can easily be funnel ##ed into aid for the palestinians and for lebanese shi ##ites .,That private wealth can easily be funneled into aid for the Palestinians and for Lebanese Shiites .
824,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,"while india is ready to enter into a "" defense cooperation agreement "" with sri lanka , it is wary of being drawn into any military involvement in the island nation ' s two decades - old civil war that has seen violent strife between ethnic tamil ##s and the sin ##hale ##se majority - leaving over 60 , 000 dead on both sides .","While India is ready to enter into a "" defense cooperation agreement "" with Sri Lanka , it is wary of being drawn into any military involvement in the island nation 's two decades - old civil war that has seen violent strife between ethnic Tamils and the Sinhalese majority - leaving over 60,000 dead on both sides ."
1650,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"as pakistan ' s president had been telling the united states he was "" forced "" into taking a hawk ##ish line on india precisely by the likes of rahman , this was an embarrassment .","As Pakistan 's president had been telling the United States he was "" forced "" into taking a hawkish line on India precisely by the likes of Rahman , this was an embarrassment ."
1888,for,for,ADP,,,,,,,0,['for'],[2005],10,10,Causal-Final Case,"simultaneously , new delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihad ##is attempting to convert kashmir into a second afghanistan .","Simultaneously , New Delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihadis attempting to convert Kashmir into a second Afghanistan ."
2074,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"this writer has for years regarded the best solution to the kashmir problem as being the tri ##fur ##cation of the indian part of the state into a hindu - majority jammu , a buddhist - dominated lad ##akh and the overwhelmingly muslim kashmir valley , with the third state given little of taxpayers ' money but substantial autonomy .","This writer has for years regarded the best solution to the Kashmir problem as being the trifurcation of the Indian part of the state into a Hindu - majority Jammu , a Buddhist - dominated Ladakh and the overwhelmingly Muslim Kashmir Valley , with the third state given little of taxpayers ' money but substantial autonomy ."
2416,wrinkles,wrinkle,NOUN,,Plur,,,,,1,"['wr', '##inkles']","[23277, 28562]",2,3,Plural Noun,"despite many wr ##inkles , india remains a part - democracy and merely signing on to a piece of paper that calls for an independent kashmir does not get you into the trouble that writing an op - ed piece against sonia gandhi or ata ##l be ##hari va ##j ##pa ##ye ##e would instantly .","Despite many wrinkles , India remains a part - democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op - ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly ."
2710,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,"first driving out the americans , then fighting the shia back into submission ( as in 1991 ) .","First driving out the Americans , then fighting the Shia back into submission ( as in 1991 ) ."
2767,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,"because of such talk , po ##sa ##da has been taken into custody by immigration officials .","Because of such talk , Posada has been taken into custody by Immigration officials ."
2827,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,"terre ##ll , a cia asset originally recruited for the contra effort , identifies the man attempting to recruit him into the philippine scheme as oliver north . . .","Terrell , a CIA asset originally recruited for the Contra effort , identifies the man attempting to recruit him into the Philippine scheme as Oliver North ..."
2962,into,into,ADP,,,,,,,0,['into'],[2046],9,9,Translative Case,"over the past decade , bangladesh has steadily moved into a state of law ##lessness .","Over the past decade , Bangladesh has steadily moved into a state of lawlessness ."
2992,arrests,arrest,NOUN,,Plur,,,,,1,['arrests'],[17615],3,3,Plural Noun,"a pattern of arrests and seizures indicate that arms are brought by the lt ##te from laos , cambodia and thailand into chi ##tta ##gong , from where they are transported northward by land to bhutan .","A pattern of arrests and seizures indicate that arms are brought by the LTTE from Laos , Cambodia and Thailand into Chittagong , from where they are transported northward by land to Bhutan ."
3230,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",10,11,Genitive Case,"the route from kali ##kh ##ola in bhutan to cox ' s ba ##zar passes through northern bengal , assam and meg ##hala ##ya , and on into chi ##tta ##gong .","The route from Kalikhola in Bhutan to Cox 's Bazar passes through northern Bengal , Assam and Meghalaya , and on into Chittagong ."
3254,days,day,NOUN,,Plur,,,,,1,['days'],[2420],2,2,Plural Noun,also several days before the elections pakistan closed the border crossing point at cha ##man in bal ##uchi ##stan which is a key entry point for the taliban into afghanistan .,Also several days before the elections Pakistan closed the border crossing point at Chaman in Baluchistan which is a key entry point for the Taliban into Afghanistan .
3366,into,into,ADP,,,,,,,0,['into'],[2046],13,13,Translative Case,but to address the substance of this big lie is to risk falling into its logic .,But to address the substance of this Big Lie is to risk falling into its logic .
3451,into,into,ADP,,,,,,,0,['into'],[2046],29,29,Translative Case,"( and , a piece of sh ##ra ##p ##nel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain ; the sh ##ra ##p ##nel being in your body demonstrates you were in mortal danger and did n ' t absent yourself from it .","( And , a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain ; the shrapnel being in your body demonstrates you were in mortal danger and did n't absent yourself from it ."
3951,into,into,ADP,,,,,,,0,['into'],[2046],10,10,Translative Case,"he was drinking like a fish , every night , into the wee hours .","He was drinking like a fish , every night , into the wee hours ."
3981,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",9,10,Genitive Case,"this little - noted interview with b ##lou ##nt ' s nephew mu ##rp ##h archibald , which appeared on national public radio ' s "" all things considered on march 30 , 2004 , gives a devastating insight into what it was like to have to suffer through bush in that period .","This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it was like to have to suffer through Bush in that period ."
4317,says,say,VERB,,Sing,3,Pres,,,1,['says'],[2758],1,1,Third-Person Present Tense Verb,"archibald says mr . bush would come into the office and , in a friendly way , offer up stories about the drinking he ' d done the night before , kind of as a conversation starter .","Archibald says Mr. Bush would come into the office and , in a friendly way , offer up stories about the drinking he 'd done the night before , kind of as a conversation starter ."
4533,'s,be,VERB,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",7,8,Third-Person Present Tense Verb,"a nato spokesman said : "" there ' s no tracking mechanism to ensure they do n ' t fall into the wrong hands .","A NATO spokesman said : "" There 's no tracking mechanism to ensure they do n't fall into the wrong hands ."
4643,means,mean,VERB,,Sing,3,Pres,,,1,['means'],[2965],26,26,Third-Person Present Tense Verb,"but then , even to talk of an "" administration "" may be mis ##di ##re ##ction at this point , given how little representative government means in the united states these days , and how much of "" national security "" has been pri ##vati ##zed into a global gang ##land of drugs and guns .","But then , even to talk of an "" administration "" may be misdirection at this point , given how little representative government means in the United States these days , and how much of "" national security "" has been privatized into a global gangland of drugs and guns ."
5051,into,into,ADP,,,,,,,0,['into'],[2046],18,18,Translative Case,"finally , from an email , a follow - up on the re ##open ##ing of the investigation into the atlanta child murders :","Finally , from an email , a follow - up on the reopening of the investigation into the Atlanta Child Murders :"
5161,needs,need,VERB,,Sing,3,Pres,,,1,['needs'],[3791],6,6,Third-Person Present Tense Verb,it is genetic and the child needs to get the gene from both parents to turn into a vegetable instead of a thinking child .,It is genetic and the child needs to get the gene from both parents to turn into a vegetable instead of a thinking child .
5261,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,"af ##sha ##ri , who was posted in germany and was responsible for receiving mu ##jah ##ede ##en children during the gulf war , said that when the german government tried to absorb mu ##jah ##ede ##en children into their education system , the mu ##jah ##ede ##en refused .","Afshari , who was posted in Germany and was responsible for receiving Mujahedeen children during the gulf war , said that when the German government tried to absorb Mujahedeen children into their education system , the Mujahedeen refused ."
5612,evolves,evolve,VERB,,Sing,3,Pres,,,1,"['evolve', '##s']","[19852, 2015]",7,8,Third-Person Present Tense Verb,"but more and more , as metal evolve ##s into a huge international music that belongs to everyone , it has gotten to be something weird ##er .","But more and more , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
5742,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,the wikipedia entry for aero ##com is just a stu ##b . . waiting for someone to put some information into it . . . .,The wikipedia entry for Aerocom is just a stub .. waiting for someone to put some information into it ....
5822,friends,friend,NOUN,,Plur,,,,,1,['friends'],[2814],3,3,Plural Noun,"fabio and his friends were into the most extreme forms of heavy metal music - death metal and black metal , music obsessed with images of murder and satan ##ism - and the role of this music is central to the story .","Fabio and his friends were into the most extreme forms of heavy metal music - death metal and black metal , music obsessed with images of murder and satanism - and the role of this music is central to the story ."
5948,comes,come,VERB,,Sing,3,Pres,,,1,['comes'],[3310],13,13,Third-Person Present Tense Verb,this is where the socio - political aspect of this con ##und ##rum comes into play .,This is where the socio - political aspect of this conundrum comes into play .
5993,into,into,ADP,,,,,,,0,['into'],[2046],16,16,Translative Case,"of the metal music far ##ce , ministry has def ##inate ##ly made in - road into ' loose change "" - "" alex jones "" territory with their new record , rio grande blood .","Of the metal music farce , Ministry has definately made in - road into ' Loose Change "" - "" Alex Jones "" territory with their new record , Rio Grande Blood ."
6059,people,people,NOUN,,Plur,,,,,0,['people'],[2111],7,7,Plural Noun,"again , i think the problem is people who sink to far into their own ego ##s , and begin to take their personal metaphor ##s a bit too literal ##y .","Again , I think the problem is people who sink to far into their own egos , and begin to take their personal metaphors a bit too literaly ."
6204,years,year,NOUN,,Plur,,,,,1,['years'],[2086],3,3,Plural Noun,"a few more years may pass before everybody acknowledges that it is a world war , but we are already well into it .","A few more years may pass before everybody acknowledges that it is a World War , but we are already well into it ."
6300,leaders,leader,NOUN,,Plur,,,,,1,['leaders'],[4177],10,10,Plural Noun,"would n ' t you expect some of the religious leaders to do it themselves , or to talk their sons into doing it , if this is truly a supreme act of religious fe ##r ##vor ?","Would n't you expect some of the religious leaders to do it themselves , or to talk their sons into doing it , if this is truly a supreme act of religious fervor ?"
6470,amounts,amount,NOUN,,Plur,,,,,1,['amounts'],[8310],1,1,Plural Noun,"huge amounts of money , which could have solved many social problems in this dysfunction ##al part of the world , are channel ##ed into three con ##centric spheres supporting death and murder .","Huge amounts of money , which could have solved many social problems in this dysfunctional part of the world , are channeled into three concentric spheres supporting death and murder ."
6687,into,into,ADP,,,,,,,0,['into'],[2046],22,22,Translative Case,"the saudi regime , of course , will be the next victim of major terror , when the inner circle will explode into the outer circle .","The Saudi regime , of course , will be the next victim of major terror , when the inner circle will explode into the outer circle ."
6741,into,into,ADP,,,,,,,0,['into'],[2046],15,15,Translative Case,it is trying to play ice hockey by sending a ball ##erina ice - skater into the ring or to knock out a heavyweight boxer by a chess player .,It is trying to play ice hockey by sending a ballerina ice - skater into the ring or to knock out a heavyweight boxer by a chess player .
6886,officials,official,NOUN,,Plur,,,,,1,['officials'],[4584],5,5,Plural Noun,"according to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamist ##s were people who blended into society and were available to act when another part of the network requested it .","According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it ."
7120,for,for,ADP,,,,,,,0,['for'],[2005],20,20,Causal-Final Case,"in early june 2003 , a central intelligence agency ( "" cia "" ) report publicly disclosed that the reason for mohammed at ##ta ' s and zac ##aria ##s mo ##uss ##ao ##ui ' s inquiries into crop ##dust ##ers was for the contemplated use in di ##sper ##sing biological agents such as ant ##hra ##x .","In early June 2003 , a Central Intelligence Agency ( "" CIA "" ) report publicly disclosed that the reason for Mohammed Atta 's and Zacarias Moussaoui 's inquiries into cropdusters was for the contemplated use in dispersing biological agents such as anthrax ."
7384,stages,stage,NOUN,,Plur,,,,,1,['stages'],[5711],9,9,Plural Noun,"some may still think that even in the final stages of the 9 / 11 plot , zac ##aria ##s mo ##uss ##ao ##ui was going to fly a 5th plane into the capitol or white house .","Some may still think that even in the final stages of the 9/11 plot , Zacarias Moussaoui was going to fly a 5th plane into the Capitol or White House ."
7773,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,"in early june 2003 , a cia report concluded that the reason for at ##ta ' s and zac ##aria ##s mo ##uss ##ao ##ui ' s inquiries into crop ##dust ##ers was in fact for the contemplated use in di ##sper ##sing biological agents such as ant ##hra ##x .","In early June 2003 , a CIA report concluded that the reason for Atta 's and Zacarias Moussaoui 's inquiries into cropdusters was in fact for the contemplated use in dispersing biological agents such as anthrax ."
7995,into,into,ADP,,,,,,,0,['into'],[2046],16,16,Translative Case,it is reasonable to credit his statement that he got the les ##ion after bump ##ing into a suitcase he was carrying at a camp in afghanistan .,It is reasonable to credit his statement that he got the lesion after bumping into a suitcase he was carrying at a camp in Afghanistan .
8203,into,into,ADP,,,,,,,0,['into'],[2046],24,24,Translative Case,"as i mentioned in my voice mail , mike roberts going to hire sara woody , a recent mba gr ##ad from rice , into his group .","As I mentioned in my voice mail , Mike Roberts going to hire Sara Woody , a recent MBA grad from Rice , into his group ."
8284,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,please look into that for me .,Please look into that for me .
8291,into,into,ADP,,,,,,,0,['into'],[2046],31,31,Translative Case,"business case : if we offered dean 55 k or 60 k it would still constitute a over a $ 10 , 000 increase ( approximately 25 % ) and taking into consideration he was rated as satisfactory at the specialist level .","Business Case : If we offered Dean 55 k or 60 k it would still constitute a over a $ 10,000 increase ( approximately 25 % ) and taking into consideration he was rated as satisfactory at the specialist level ."
8619,into,into,ADP,,,,,,,0,['into'],[2046],3,3,Translative Case,am i turning into mother ?,Am I turning into Mother ?
8631,hours,hour,NOUN,,Plur,,,,,1,['hours'],[2847],18,18,Plural Noun,"they will be there by noon on the 20th , and the surgery will last 1 . 5 hours and then they ' ll watch him for 2 more hours before they put him into ic ##u .","They will be there by noon on the 20th , and the surgery will last 1.5 hours and then they 'll watch him for 2 more hours before they put him into ICU ."
8767,attachments,attachment,NOUN,,Plur,,,,,1,"['attachment', '##s']","[14449, 2015]",5,6,Plural Noun,"although this email and any attachment ##s are believed to be free of any virus or other defect that might affect any computer system into which it is received and opened , it is the responsibility of the recipient to ensure that it is virus free and no responsibility is accepted by century development or any of its affiliates for any loss or damage arising in any way from its use .","Although this email and any attachments are believed to be free of any virus or other defect that might affect any computer system into which it is received and opened , it is the responsibility of the recipient to ensure that it is virus free and no responsibility is accepted by Century Development or any of its affiliates for any loss or damage arising in any way from its use ."
10258,into,into,ADP,,,,,,,0,['into'],[2046],10,10,Translative Case,a little bird ##ie told me that you were checking into tickets for seoul .,A little birdie told me that you were checking into tickets for Seoul .
10300,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,i ran into corey last night at l ##w s and i am thinking this is a girl for darren .,I ran into Corey last night at LW s and I am thinking this is a girl for Darren .
10380,'s,us,PRON,,,,,,,0,"[""'"", 's']","[1005, 1055]",13,14,Genitive Case,"i do n ' t want to wait till month end , let ' s adjust the numbers now and for the june 29 2nd order , let s take that value into june since it relates to july puts .","I do n't want to wait till month end , let 's adjust the numbers now and for the June 29 2nd order , let s take that value into June since it relates to July puts ."
10760,gets,get,VERB,,Sing,3,Pres,,,1,['gets'],[4152],2,2,Third-Person Present Tense Verb,my flight gets into s . d . at at 8 : 35 on southwest .,My flight gets into S.D. at at 8:35 on southwest .
10782,adds,add,VERB,,Sing,3,Pres,,,1,['adds'],[9909],18,18,Third-Person Present Tense Verb,"we have received the amendment to the bc gas is ##da master executed by bc gas , which adds the canadian securities representation , so we do n ' t have to add the rep into every confirm .","We have received the amendment to the BC Gas ISDA Master executed by BC Gas , which adds the Canadian Securities Representation , so we do n't have to add the rep into every confirm ."
11106,needs,need,VERB,,Sing,3,Pres,,,1,['needs'],[3791],2,2,Third-Person Present Tense Verb,en ##ron needs to use this situation to quickly get our viewpoint ##s up into the pu ##ct and er ##cot iso on what is driving these problems and our proposed fix ##es .,Enron needs to use this situation to quickly get our viewpoints up into the PUCT and ERCOT ISO on what is driving these problems and our proposed fixes .
11280,into,into,ADP,,,,,,,0,['into'],[2046],10,10,Translative Case,"it is far too early to expect murphy to enter into a physical or financial contract , but tom hopes to get us first and / or last look from murphy when the time is right .","It is far too early to expect Murphy to enter into a physical or financial contract , but Tom hopes to get us first and / or last look from Murphy when the time is right ."
11613,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,"following up on our discussion yesterday ; for these types of deals , i do nt think it s necessary to have all the documentation of our counterpart ##y ' s authorization to enter into the agreement .","following up on our discussion yesterday ; for these types of deals , i do nt think it s necessary to have all the documentation of our counterparty 's authorization to enter into the agreement ."
12045,isda,isda,NOUN,,Plur,,,,,0,"['is', '##da']","[2003, 2850]",7,8,Plural Noun,is it possible to combine the standard is ##da and our confirm into a single long form ?,is it possible to combine the standard isda and our confirm into a single long form ?
12096,reps,rep,NOUN,,Plur,,,,,1,"['rep', '##s']","[16360, 2015]",8,9,Plural Noun,"also , in the 7th line of the rep ##s add the word "" into "" after the word "" entered "" and before the word "" this "" .","Also , in the 7th line of the reps add the word "" into "" after the word "" entered "" and before the word "" this "" ."
12125,changes,change,NOUN,,Plur,,,,,1,['changes'],[3431],6,6,Plural Noun,i have attempted to incorporate the changes that jim has incorporated in our long form power agreement which en ##a has suggested to date into the short form .,I have attempted to incorporate the changes that Jim has incorporated in our long form power agreement which ENA has suggested to date into the short form .
12377,into,into,ADP,,,,,,,0,['into'],[2046],1,1,Translative Case,"taking into consideration this class of customer , we decided to include certain items , including our inability to cover our costs due to a change in law , rules or practices as a "" force maj ##eur ##e event "" in an effort to soft ##en the approach ( see the gt ##cs ) .","Taking into consideration this class of customer , we decided to include certain items , including our inability to cover our costs due to a change in law , rules or practices as a "" force majeure event "" in an effort to soften the approach ( see the GTCs ) ."
12949,changes,change,NOUN,,Plur,,,,,1,['changes'],[3431],9,9,Plural Noun,"if you are comfortable , we will drive these changes into our other mid ##market power forms .","If you are comfortable , we will drive these changes into our other midmarket power forms ."
13000,Lawmakers,lawmaker,NOUN,,Plur,,,,,1,"['law', '##makers']","[2375, 12088]",0,1,Plural Noun,"law ##makers and consumer groups all ##ege that the events - directed by the man who heads the state ' s energy grid - fueled the california energy crisis , pushed the state into the power - buying business and helped make billions of dollars for power producers .","Lawmakers and consumer groups allege that the events - directed by the man who heads the state 's energy grid - fueled the California energy crisis , pushed the state into the power - buying business and helped make billions of dollars for power producers ."
13322,believes,believe,VERB,,Sing,3,Pres,,,1,['believes'],[7164],3,3,Third-Person Present Tense Verb,""" the governor believes it was the defining moment , when what was a mounting problem turned into an instant crisis , "" ma ##vi ##glio said .",""" The governor believes it was the defining moment , when what was a mounting problem turned into an instant crisis , "" Maviglio said ."
13478,utilities,utility,NOUN,,Plur,,,,,2,['utilities'],[16548],4,4,Plural Noun,"this action accelerated the utilities ' move toward bankruptcy and forced the governor to move the state into the power - buying business . ""","This action accelerated the utilities ' move toward bankruptcy and forced the governor to move the state into the power - buying business . """
13628,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,"another time i ' ll se ##gue ##way into all the fun work related instances where "" mom ##mies "" get out of doing work and hiding behind child ##care as the reason .","Another time I 'll segueway into all the fun work related instances where "" Mommies "" get out of doing work and hiding behind childcare as the reason ."
13773,friends,friend,NOUN,,Plur,,,,,1,['friends'],[2814],11,11,Plural Noun,the two screamed to fright ##en the bear and warn their friends in a tent several metres away but the bear ripped into that tent and began ma ##ulin ##g 31 - year - old alain parent ##eau .,The two screamed to frighten the bear and warn their friends in a tent several metres away but the bear ripped into that tent and began mauling 31 - year - old Alain Parenteau .
13983,Walls,wall,NOUN,,Plur,,,,,1,['walls'],[3681],0,0,Plural Noun,"walls keeping water out of the bowl - shaped city have been breached , and emergency teams are using helicopters to drop 1 , 350 kg ( 3 , 000 lb ) sand ##bags and concrete barriers into the gaps .","Walls keeping water out of the bowl - shaped city have been breached , and emergency teams are using helicopters to drop 1,350 kg ( 3,000 lb ) sandbags and concrete barriers into the gaps ."
14235,into,into,ADP,,,,,,,0,['into'],[2046],14,14,Translative Case,harrison county in mississippi bore the br ##unt of hurricane katrina as it slammed into bi ##lo ##xi and gulf ##port before heading inland .,Harrison County in Mississippi bore the brunt of Hurricane Katrina as it slammed into Biloxi and Gulfport before heading inland .
14298,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,an intrusion into japanese territorial waters by a chinese nuclear submarine last week and a trade deal with brazil are the latest apparently un ##connected consequences of china ' s soaring economic growth .,An intrusion into Japanese territorial waters by a Chinese nuclear submarine last week and a trade deal with Brazil are the latest apparently unconnected consequences of China 's soaring economic growth .
14426,muscles,muscle,NOUN,,Plur,,,,,1,['muscles'],[6650],6,6,Plural Noun,"with each breath , feel the muscles in your body becoming lighter and lighter , and also your external motor and sensory organs are feeling like they are withdrawing from the world into a special inner quiet ##ness .","With each breath , feel the muscles in your body becoming lighter and lighter , and also your external motor and sensory organs are feeling like they are withdrawing from the world into a special inner quietness ."
14768,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,now you are far above the earth - into space .,Now you are far above the earth - into space .
14779,into,into,ADP,,,,,,,0,['into'],[2046],5,5,Translative Case,feel your body sinking slightly into the sand making that earthly connection again .,Feel your body sinking slightly into the sand making that earthly connection again .
14835,into,into,ADP,,,,,,,0,['into'],[2046],2,2,Translative Case,touching deep into the idea is what builds intuition - it is a synthetic process .,Touching deep into the idea is what builds intuition - it is a synthetic process .
14931,people,people,NOUN,,Plur,,,,,0,['people'],[2111],15,15,Plural Noun,"we insist that no one , especially the state , is allowed to coe ##rce people into marriage or bar two consent ##ing adults , whether of the same or differing gender ##s , from forming the family unit that lets them be more fully loving , thus more fully human .","We insist that no one , especially the state , is allowed to coerce people into marriage or bar two consenting adults , whether of the same or differing genders , from forming the family unit that lets them be more fully loving , thus more fully human ."
15421,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],19,19,Third-Person Present Tense Verb,"that is what is about to happen with judge samuel ali ##to , in my opinion , because he has one tragic flaw - a very serious blind spot in his thinking - which makes him completely unacceptable for the position of supreme court justice : he does not really agree with the system of "" checks and balance ##s "" built into the constitution , and he is ready to start tearing it down in order to follow the "" unitary executive theory , "" which calls for vastly - increased presidential power at the expense of congress and the supreme court .","That is what is about to happen with Judge Samuel Alito , in my opinion , because he has one tragic flaw - a very serious blind spot in his thinking - which makes him completely unacceptable for the position of Supreme Court Justice : He does not really agree with the system of "" Checks and Balances "" built into the Constitution , and he is ready to start tearing it down in order to follow the "" Unitary Executive Theory , "" which calls for vastly - increased Presidential Power at the expense of Congress and the Supreme Court ."
17257,pilots,pilot,NOUN,,Plur,,,,,1,['pilots'],[8221],4,4,Plural Noun,"a pair of military pilots embarked on china ' s second manned space flight early today , hurt ##ling into orbit on a test mission that could span five days .","A pair of military pilots embarked on China 's second manned space flight early today , hurtling into orbit on a test mission that could span five days ."
17402,into,into,ADP,,,,,,,0,['into'],[2046],9,9,Translative Case,his one - day mission vaulted his communist homeland into the elite circle of space ##far ##ing nations - russia and the united states - that can launch and sustain humans in space .,His one - day mission vaulted his communist homeland into the elite circle of spacefaring nations - Russia and the United States - that can launch and sustain humans in space .
17530,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,this will copy the entire letter into the computer ' s memory .,This will copy the entire letter into the computer 's memory .
17542,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,this will paste a copy of the letter into the note ##pad so that you will add your name to the list .,This will paste a copy of the letter into the notepad so that you will add your name to the list .
17608,into,into,ADP,,,,,,,0,['into'],[2046],17,17,Translative Case,"rumor also had it some renegade biologist brought a cage ##d pair to yellowstone and released them into the wild sometime in the 1970s , hoping to rees ##ta ##bl ##ish a breeding population .","Rumor also had it some renegade biologist brought a caged pair to Yellowstone and released them into the wild sometime in the 1970s , hoping to reestablish a breeding population ."
17856,into,into,ADP,,,,,,,0,['into'],[2046],3,3,Translative Case,"this trickle grew into a flood , resulting in 14 wolves being reintroduced in yellowstone in 1995 by the u . s . fish and wildlife service - - albeit over the strong and still - continuing objections of ranch ##ers .","This trickle grew into a flood , resulting in 14 wolves being reintroduced in Yellowstone in 1995 by the U.S. Fish and Wildlife Service -- albeit over the strong and still - continuing objections of ranchers ."
18078,conservationists,conservationist,NOUN,,Plur,,,,,1,"['conservation', '##ists']","[5680, 5130]",1,2,Plural Noun,"some conservation ##ists want the protection extended so wolves can move into other states , including colorado , utah and oregon , among others .","Some conservationists want the protection extended so wolves can move into other states , including Colorado , Utah and Oregon , among others ."
